transcript,category,is_scam


"Sir, I am from FastLoan instant loan company. You are eligible for twenty five thousand rupees at only one percent interest. The offer is valid only for today. Just transfer the insurance charge of fifteen hundred rupees and share your Aadhaar and bank details, money will be in your account in 45 minutes.",loan_scam,1
"hello? I am calling from narcotics control bureau. Your Aadhaar card has been used in a illegal transactions case in Kolkata. This is a national security matter. You must join a video call on Google Meet immediately for interrogation, otherwise a non bailable warrant will be executed against you today.",fake_cbi_police_call,1
"Madam, a foreign national has sent you a parcel with gold jewellery and dollars. It is stuck at customs in Delhi. As per rules you must pay anti money laundering certificate fee of five hundred rupees plus handling charge. Pay immediately, the parcel will be delivered to your home tomorrow with the refund of your fee.",customs_scam,1
yes yes Dear customer your debit card has been used in Kolkata for one lakh rupees. If this was not you share the OTP received on your number immediately so we can reverse the transaction. Hurry the reversal window closes in ten minutes.,otp_scam,1
yes yes Under section money laundering act you are digitally detained. I am Inspector Singh my badge number is being sent to you. Do not cut this call for the next six hours. Move to a quiet room alone. Every rupee in your Bank of Baroda account must be verified through our secure treasury account starting now.,digital_arrest_scam,1
hello? Madam you are under digital arrest since your number is linked to money laundering. Skype interrogation will continue until the court verification finishes. Arrange five thousand rupees as bail bond and transfer it now otherwise physical arrest team will reach your home in twenty four hours. Remain on camera do not mute.,digital_arrest_scam,1
"yes yes Hello sir, I am calling from Myntra refund department. Your payment of five hundred rupees failed but money got deducted. I am sending you a refund request on your UPI app. Just open the app, enter your UPI PIN and the amount will come back to you instantly.",upi_refund_scam,1
"yes yes Sir, I am from RupeeClick instant loan company. You are eligible for five thousand rupees at only one percent interest. The offer is valid only for today. Just transfer the insurance charge of two thousand rupees and share your Aadhaar and bank details, money will be in your account in one hour.",loan_scam,1
"Under section money laundering act you are digitally detained. I am Head Constable Verma, my badge number is being sent to you. Do not cut this call for the next six hours. Move to a quiet room alone. Every rupee in your Punjab National Bank account must be verified through our secure treasury account starting now.",digital_arrest_scam,1
"Hi, I am calling from your internet service provider. We have a scheduled maintenance in Bangalore area tonight from two am to four am so your broadband may be down during that time. No action is required from you. Sorry for the inconvenience.",customer_support,0
"hmm Good evening sir, this is Rohan from Amazon support. You requested a return for your recent order. The pickup is scheduled for tomorrow between ten am and six pm. Please keep the product with original packaging ready. Refund will be processed to your original payment method within seven days after pickup.",customer_support,0
"Hello, I am calling from Blue Dart head office Hyderabad. A parcel booked on your Aadhaar number going to Taiwan has been seized. It contains five passports, credit cards, and illegal drugs. A case will be filed against you. To clarify, I am transferring this call to the Kolkata cyber police, stay on the line.",courier_scam,1
"hello? Your WhatsApp video call was recorded and my team has edited it. The girl you talked to has filed a complaint. I am the officer handling it. To close the case and delete the video, pay a settlement of ten thousand rupees today. Otherwise the video and FIR go to your office and family.",sextortion,1
"hello? Sir your parcel from Mumbai has arrived at our India Post hub. Since the address is incomplete, our executive will call you to confirm the landmark before delivery tomorrow. No charges are pending on this shipment.",delivery_call,0
This is India Post security department. A package under your name containing hawala transfers evidence was intercepted in Mumbai. You must verify your Aadhaar and bank account with our verification officer immediately. Failure to comply will result in arrest within thirty minutes.,courier_scam,1
